id,name,stopNumber,latitude,longitude,shelter
32b45f20-8bd9-4603-8991-c096b9b460a3,Oaklands Manor,3489,49.21248976,-2.08245297,
32ec33dd-840a-4785-a945-87c102696d5f,Landscape Grove N,4584,49.20110112,-2.12941975,
33440a97-ee4c-435a-92d3-0dbcc0765c56,St Ouen Manor S,2927,49.22490183,-2.19544602,
33b22c33-9bf5-4f8c-b21b-a5b2d0deb30b,La Fantaisie,3649,49.21659762,-2.05901281,
33d1265c-7e47-49d2-850e-37f0c506b7c4,St Saviours Church N,3837,49.19481145,-2.09085756,
33d7e5d6-37b4-4416-9011-25df6a15398d,La Rocque Church N,2897,49.17264315,-2.03108395,
341334b5-54f6-41d7-a729-848136d94714,Jersey Pearl S,3679,49.23088856,-2.23352954,
3445aa25-a654-4519-853f-9dcefca60889,Links Estate N,3262,49.19027007,-2.03873552,
34b0bafd-c01f-485d-8369-794b32220e19,The Mermaid S,3423,49.20468318,-2.18977209,1
34cab2bb-e64f-4be4-bebd-3fe4358fb360,Clos de la Mielle E,2865,49.19407461,-2.16413996,
366d64bf-9022-46b9-a72c-20811507c7e2,Chapel Lane,3763,49.18329022,-2.10021539,
366ffc9a-7397-4a85-83e8-99b1980ae4af,Trinity Youth Club S,4369,49.23492761,-2.09154086,
3685810a-e459-4e09-8c1d-51c429d2bece,St Brelade College W,3747,49.18806812,-2.17569956,
36a20ab6-15f7-4836-9ae9-0cda942ecd08,Anne Port Slipway S,4343,49.20523636,-2.02261693,
36f54b4b-88d0-40aa-b18f-9f48f6204c6a,Le Couvent,4236,49.22206255,-2.12523118,
370459be-42a4-42f8-9f73-d5ac063d709b,Brampton Farm W,2457,49.2348076,-2.19002763,
3715429b-3c88-4467-9f49-64c003eeddba,Rue des Fonds W,3652,49.18587843,-2.04552016,
371db7ea-06e7-4441-abc5-0fdcb3376c66,La Lande E,2626,49.24631515,-2.1060524,
37642575-70b3-4225-867c-c036f85ca4a2,Bel Royal Gardens,2385,49.19818849,-2.14639065,1
38216137-8f3b-4f3f-b34e-7db04dab0660,Ruette de Faldouet E,2928,49.20357945,-2.03335453,
382f3b7d-df10-4246-8ab4-bdc1a712ee5f,La Grande Mielle,4387,49.17983216,-2.03539094,
384b88b4-24df-4142-a6ff-ee4beae8f38e,Le Marais,4392,49.16737164,-2.07930498,1
385a2f8e-495e-414e-bde0-52f2334010e0,Rue d'Egypte E,2584,49.2453339,-2.09881542,
388ecab5-57f5-4903-83a9-c636adbc9a9b,Belle Vue N,3492,49.19753172,-2.19781995,1
38d748a8-e09f-4f08-ab4d-9c2ada162256,Ouaisne Junction S,3572,49.17689057,-2.17311,
3920578e-7e14-4b43-b3b9-b6f739d727f1,Archirondel S,2352,49.21006403,-2.02576896,
3a1553da-23a0-4d3b-8e14-1ff3a966e9bc,Gloster Terrace S,2628,49.19182432,-2.10911979,1
3a299289-3df5-4b0d-bb75-e9c7e3c2f600,St Peters Arsenal N,3827,49.20172676,-2.18031431,
3a8146b9-f7e2-4ba8-bce3-6845a03495b0,Hameau de la Mer W,2784,49.16683593,-2.0398548,1
3a897f1b-0ab6-4cc0-8e22-7ba7348b62a1,St Lawrence Church N,3768,49.21376342,-2.14135075,1
3aa42824-5b5b-4906-bdc0-35c481f4ba03,Midland Stores N,2473,49.20853257,-2.06553301,
3afa4029-1bff-46f0-8b07-3e13fdbea078,Troy Court N,3937,49.19632007,-2.09674513,
3c3b82fb-8b91-45de-8df0-a44c8e4e83c7,Grouville Arsenal W,2346,49.1813584,-2.05987778,1
3c4a2553-d1ce-4d1e-86ed-32487cb735cf,Petit Port Close,3536,49.18410041,-2.22748612,
3c8280cd-f1a9-42e0-9dd6-66406d5a204a,Byron Road N,2749,49.19144264,-2.10284305,
3c91b106-039e-496a-9ee7-226bf3bc603c,Gloucester Street N,3524,49.1877109,-2.11016197,1
3ca524d6-5345-40da-a9b5-c29b9f62e3c5,Patier Road,4373,49.19489723,-2.08602661,
3cda3a43-9d66-4b4e-bc30-e52a15e239cf,The Mermaid N,2474,49.20473926,-2.189935,1
3d3b2446-1e3c-4bf5-9552-e795b93db931,Tunnell Street,2345,49.18798987,-2.09723561,
3d622231-4bfd-47cf-8403-82d23914146b,Les Landes Avenue W,2638,49.18695249,-2.18625971,
3d8fc477-77b3-40ff-bea9-841a846928ce,Grasett Park E,2697,49.17696883,-2.08833135,1
3d90183a-577c-4be4-b8fd-79e68394085a,Jersey Airport,2326,49.20592224,-2.19462701,1
3de1da5c-4dd7-42e1-913f-6dbd70217d60,The Crematorium,2548,49.19332092,-2.11544114,
3e080ec8-00f4-49b5-ba15-c3ebce2845b2,Clos des Champs S,2647,49.21519439,-2.0661214,
3e32072b-f33c-49ef-b67b-a21ae1f1ffe6,The Royal W,3783,49.21788216,-2.05098654,1
3e7e9e5e-c4fd-42e1-bb38-1c20523f2722,Rue du Hucquet E,3274,49.22057976,-2.05765729,
3ea42723-cacb-4d7e-beee-f2aefce07961,Grouville Church W,2742,49.18364814,-2.04985142,
3eb91bbc-5d69-4f67-b1ba-6bb5d20b1c21,Southfork Farm,3735,49.20672871,-2.06576356,
3edf02f9-dde0-43a8-bd7f-a08f282bf740,Hollydale Estate N,2768,49.20422846,-2.14044499,
3fb25223-3bb1-4aaa-a503-dce1ca9663e5,Les Varines E,2597,49.18229975,-2.08462256,
403230f7-f668-44de-8c1f-65015b730bbe,Rue des Pres Estate,3656,49.18186594,-2.07853347,
4101a28d-3cd6-4d64-8db4-062a0ebbe57c,Le Feugerel E,2946,49.18602208,-2.22084668,
4120b5d5-7788-472c-a727-71062380c39e,Mont a l'Abbe Sch S,3454,49.20293843,-2.11365506,1
4130eed9-335e-402d-9623-5e36ce42720a,Clos de Charriere W,4379,49.17397568,-2.08978164,
4138e953-8ce4-4fc5-a225-afb857ea316e,Rue des Camps,2379,49.18295513,-2.22032344,
414bb43c-b5db-4d11-909c-b4ec792adc03,Samares Manor E,3683,49.17347333,-2.07923285,
41da51bb-07b5-4ab6-a623-7723f1c2334a,Radisson Hotel,4652,49.18389613,-2.11511355,
42dd7549-0ee2-4815-a1b9-dabcfa92aec4,Croix au Maitre,2563,49.22045323,-2.05770725,
431a4ea9-1505-4368-b959-80aca3b20b2d,St Bernards W,2476,49.20210554,-2.0533034,
43558189-05df-4439-87fb-7929c78a2e58,Le Feugerel W,3587,49.1859627,-2.22109922,
43e3d7cd-8c20-4042-83a0-ceb2059ecaa3,Grands Vaux School,2696,49.20267083,-2.0912337,
4478f256-96cb-49d0-bae6-9d2804557f2b,St Matthews Church W,2673,49.19845496,-2.14276427,
450f14e8-13c4-4520-a5a8-5c134f48701c,Broad Street,2462,49.18444782,-2.1080807,
453974ad-f7f8-476e-b3a4-bfd896c4052e,Les Hougues W,4398,49.23329862,-2.06932599,
45434e2c-ad5a-4427-baf4-d0d70a0affba,La Blanche Maison S,3979,49.23947014,-2.23990114,
455fe15a-2636-41dc-bcac-e6e8493315d9,Hamptonne Museum,4367,49.22181804,-2.14169973,
45d0f467-2e27-4a11-aeaf-2a4316700f09,Atlantic Hotel E,2354,49.18684858,-2.22537393,
467adefe-3664-4ece-8141-40e686493c7a,Seymour Inn N,3695,49.16963517,-2.0300495,
468de431-6470-4be8-a7fe-57092400c476,Pontorson Lane W,2838,49.16759427,-2.06448806,
46cad13c-a41f-4e38-8e6d-57c4d4e71909,Five Oaks N,2636,49.19898301,-2.07991986,
4745cc54-4262-40f3-88a6-89a68323b67d,Le Don Baudains,4597,49.17350381,-2.05140748,
47761a56-04ea-43d2-9fba-da244902cc22,Don Farm,2542,49.19457445,-2.19880771,1
4799e1e5-e088-4993-8c3f-e919f5a9eb90,Jardin des Carreaux,2794,49.19861306,-2.11328558,1
47e35417-1ff3-4ce1-8c45-fc53a886e983,Regent Road,4574,49.18083453,-2.10272302,
48584f0e-0b1f-4660-80a3-f5e3c421ff92,Le Hurel S,2958,49.22026045,-2.09415664,
48b0cdd2-67b8-47cc-aff9-0860fef4094e,Clos des Blanches E,4567,49.17099605,-2.08646835,
