id,createdAt,name,payByPhoneCode,owner,type,surfaceType,multiStorey,latitude,longitude,paymentMethods,spaces,disabledSpaces,parentChildSpaces,electricChargingSpaces,liveTrackingCode,notes,ownerName
c50bb822-0baa-4501-894f-2cf2bd2450e5,2024-06-11T10:02:48.000Z,La Roque Harbour,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.165111,-2.03253,,52,2,0,0,,,Government of Jersey
c6fcd6d5-9f2b-4920-95b1-f6145647b850,2024-06-11T10:02:48.000Z,Tams,59848,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.185676,-2.196665,"SEASON_TICKET,PAYCARD,PAY_BY_PHONE",122,2,0,0,,Half season ticket can be used,Government of Jersey
c9641207-c882-4c4a-94c9-3efb7703ce45,2024-06-11T10:02:48.000Z,Pont Marquet Country Park,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.193095,-2.196525,,22,0,0,0,,,Government of Jersey
c9f01f14-b9bb-461b-a93c-a9316049f433,2024-06-11T10:02:48.000Z,Lay-by 2,59831,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.189998,-2.121112,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",80,2,0,0,,Half season ticket can be used,Government of Jersey
ca874bd2-941e-40fb-b017-7b86e1019c18,2024-06-11T10:02:48.000Z,Bel Val,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.222366,-2.025661,,10,0,0,0,,,Government of Jersey
cef48c95-8669-48d9-ba9e-e654c819d861,2024-06-11T10:02:48.000Z,Old Greve D'Azette Station Site,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.17419,-2.088805,,22,0,0,0,,,Government of Jersey
d2a44d9f-287c-4521-b8e3-9a640b972194,2024-06-11T10:02:48.000Z,Patriotic Street MS,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,CONCRETE,1,49.187261,-2.114208,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",625,8,0,2,PATRIOTICST,,Government of Jersey
d4067fdb-48a4-4c0e-9e79-c292e1a5dd56,2024-06-11T10:02:48.000Z,"St. Brelade's Church, top of slip",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.184866,-2.202641,,14,0,0,0,,,Government of Jersey
dba59fa8-802b-4fc9-9fc5-f8c99cbfec21,2024-06-11T10:02:48.000Z,Mont Huelin Quarry,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.237128,-2.234302,,10,0,0,0,,,Government of Jersey
e26e88ff-ffd8-4309-a775-318762222d1a,2024-06-11T10:02:48.000Z,La Crete Quarry,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.207848,-2.021876,,50,0,0,0,,,Government of Jersey
e8d804c9-9d19-43f9-8979-3cdace2ac306,2024-06-11T10:02:48.000Z,"St. Catherine's Bay, near Martello Tower",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.218533,-2.029746,,6,0,0,0,,,Government of Jersey
e951d255-ca04-4232-8a29-9aa524bfccee,2024-06-11T10:02:48.000Z,La Carriere,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.195005,-2.22441,,101,0,0,0,,,Government of Jersey
ee75596e-596f-4c27-b390-04d60e0c19d5,2024-06-11T10:02:48.000Z,Corbiere,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,CONCRETE,,49.18143,-2.2412,,31,0,0,0,,,Government of Jersey
efdd29cd-0e02-4ebb-9a4b-b0f7a921104f,2024-06-11T10:02:48.000Z,Gun Site,59838,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.196355,-2.157491,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",19,1,0,0,,Half season ticket can be used,Government of Jersey
f3363a57-e432-4cde-b845-1a0600a67f27,2024-06-11T10:02:48.000Z,St. Aubin's Parish Hall Rear,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.188191,-2.169506,,30,1,0,0,,,Government of Jersey
f3beeb9e-dc13-469e-8ced-ad02a98e16ed,2024-06-11T10:02:48.000Z,St. Aubin's Parish Hall Far Rear,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.187934,-2.169676,,44,2,0,2,,,Government of Jersey
f5d18a7b-2de4-44e1-8835-2abf233a596c,2024-06-11T10:02:48.000Z,Minden Place MS,59815,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",SHORT_STAY,CONCRETE,1,49.186156,-2.102991,"PAY_BY_PHONE,PAYCARD",242,5,4,2,MINDENPL,,Government of Jersey
f6565807-ea47-487c-a310-c1be1de26c13,2024-06-11T10:02:48.000Z,South Hill,59817,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",SHORT_STAY,TARMAC,,49.17773,-2.108487,,16,0,0,0,,,Government of Jersey
f72778b8-176d-4440-a724-046f82962735,2024-06-11T10:02:48.000Z,Victoria House,59844,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.197007,-2.145853,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",54,2,0,0,,Half season ticket can be used,Government of Jersey
f882b0d3-3762-4044-8725-1a470f5e9698,2024-06-11T10:02:48.000Z,Ville es Renauds,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.188258,-2.039715,,14,0,0,0,,,Government of Jersey
f8912c28-8b07-44eb-99fd-11c393f29877,2024-06-11T10:02:48.000Z,Les Laveurs Slip,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.230931,-2.234441,,24,0,0,0,,,Government of Jersey
fe444fde-4e9d-430a-8e2b-8b47002ed698,2024-06-11T10:02:48.000Z,Grosnez,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.256942,-2.245706,,33,0,0,0,,,Government of Jersey
ffe20367-3a43-4723-93ab-40c3550ab593,2024-06-11T10:02:48.000Z,"Greve de Lecq, Martello Tower",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.246101,-2.201128,,126,1,0,0,,,Government of Jersey
